id,name,filePath,startLine,endLine,isExported,content,description
"Class:agents/Base_Agent.py:Base_Agent","Base_Agent","agents/Base_Agent.py",8,136,true,"

class Base_Agent():
    def __init__(self):
        self.action_size = None  # 动作维度
        self.state_size = None  # 状态维度
        self.episode_number = 0  # 周期数
        self.device = torch.device(""cuda:0"" if torch.cuda.is_available() else ""cpu"")  # 设备选择
        print(""选择的设备："", self.device)
        self.turn_off_exploration = False  # 探索控制
        # 通用环境相关参数和周期参数定义
        self.state = None
        self.next_state = None
        self.action = None
        self.reward = None
        self.done = False

        self.episode_states = []
        self.episode_rewards = []
        self.episode_actions = []
        self.episode_next_states = []
        self.episode_dones = []

    def step(self):
        """"""
        在对应智能体中重写step方法
        """"""
        raise ValueError(""step方法需要在对应智能体中重写"")

    def get_state_size(self):
        """"""
        环境状态维度-用于构建神经网络
        """"""
        return ValueError(""该方法需要在对应智能体中重写"")

    def reset_game(self):
        """"""重置环境""""""
        self.state = None
        self.next_state = None
        self.action = None
        self.reward = None
        self.done = False
        self.episode_states = []
        self.episode_rewards = []
        self.episode_actions = []
        self.episode_next_states = []
        self.episode_dones = []

    def track_episodes_data(self):
        """"""保存最近几集的数据""""""
        self.episode_states.append(self.state)
        self.episode_actions.append(self.action)
        self.episode_rewards.append(self.reward)
        self.episode_next_states.append(self.next_state)
        self.episode_dones.append(self.done)

    def enough_experiences_to_learn_from(self, memory, batch_size):
        """"""布尔值表示内存缓冲区中是否有足够的经验可供学习""""""
        return len(memory) > batch_size

    def save_experience(self, memory=None, experience=None):
        """"""将最近的经验保存到内存缓冲区""""""
        if experience is None:
            experience = self.state, self.action, self.reward, self.next_state, self.done
        memory.add_experience(*experience)

    def take_optimisation_step(self, optimizer, network, loss, clipping_norm=None, retain_graph=False):
        """"""通过计算给定损失的梯度然后更新参数来进行优化步骤""""""
        if not isinstance(network, list):
            network = [network]
        optimizer.zero_grad()  # 重置梯度为 0
        loss.backward(retain_graph=retain_graph)  # 计算梯度
        if clipping_norm is not None:
            for net in network:
                torch.nn.utils.clip_grad_norm_(net.parameters(), clipping_norm)  # 裁剪梯度以帮助稳定训练
        optimizer.step()  # 更新梯度

    def soft_update_of_target_network(self, local_model, target_model, tau=0.005):
        """"""软更新目标网络""""""
        for target_param, local_param in zip(target_model.parameters(), local_model.parameters()):
            target_param.data.copy_(tau * local_param.data + (1.0 - tau) * target_param.data)

    def turn_on_any_epsilon_greedy_exploration(self):
        """"""开启所有贪心勘探策略的勘探""""""
        print(""Turning on epsilon greedy exploration"")
        self.turn_off_exploration = False

    def turn_off_any_epsilon_greedy_exploration(self):
        """"""关闭所有贪心勘探策略下的勘探""""""
        print(""Turning off epsilon greedy exploration"")
        self.turn_off_exploration = True

    def freeze_all_but_output_layers(self, network):
        """"""冻结网络除输出层外的所有层""""""
        print(""Freezing hidden layers"")
        for param in network.named_parameters():
            param_name = param[0]
            assert ""hidden"" in param_name or ""output"" in param_name or ""embedding"" in param_name, \
                ""Name {} of network layers not understood"".format(param_name)
            if ""output"" not in param_name:
                param[1].requires_grad = False

    def unfreeze_all_layers(self, network):
        """"""解冻网络的所有层""""""
        print(""Unfreezing all layers"")
        for param in network.parameters():
            param.requires_grad = True

    @staticmethod
    def move_gradients_one_model_to_another(from_model, to_model, set_from_gradients_to_zero=False):
        """"""从from_model复制梯度到to_model""""""
        for from_model, to_model in zip(from_model.parameters(), to_model.parameters()):
            to_model._grad = from_model.grad.clone()
            if set_from_gradients_to_zero:
                from_model._grad = None

    @staticmethod
    def copy_model_over(from_model, to_model):
        """"""将模型参数从from_model复制到to_model""""""
        to_model.load_state_dict(from_model.state_dict())

    @staticmethod
    def copy_model_over_dict(from_model, to_model):
        """"""将模型参数从from_model复制到to_model""""""
        # 复制模型参数
        to_model_state_dict = to_model.state_dict()
        from_model_state_dict = from_model.state_dict()
        # 更新to_model的参数为from_model的参数
        to_model_state_dict.update(from_model_state_dict)
        # 加载更新后的参数到to_model
        to_model.load_state_dict(to_model_state_dict)

",""
"Class:agents/HMPSAC/A2C_v5.1.py:TaskPolicyNet","TaskPolicyNet","agents/HMPSAC/A2C_v5.1.py",34,51,true,"
# 构建工序策略网络类
class TaskPolicyNet(nn.Module):
    def __init__(self, input_size_1, hidden_size, hidden_layer_1, output_size_1):
        super(TaskPolicyNet, self).__init__()
        self.name = ""task_policy""
        # 定义工序策略网络输入层
        self.layers_1 = nn.ModuleList([nn.Linear(input_size_1, hidden_size), nn.ReLU()])
        # 定义工序策略网络隐藏层
        for i in range(hidden_layer_1 - 1):
            self.layers_1.append(nn.Linear(hidden_size, hidden_size))
            self.layers_1.append(nn.ReLU())
        # 定义工序策略网络输出层
        self.layers_1.append(nn.Linear(hidden_size, output_size_1))

    def forward(self, x):
        for layer in self.layers_1:
            x = layer(x)
        x = F.softmax(x, dim=-1)
        return x


",""
"Class:agents/HMPSAC/A2C_v5.1.py:MachinePolicyNet","MachinePolicyNet","agents/HMPSAC/A2C_v5.1.py",55,72,true,"
# 构建机器策略网络类
class MachinePolicyNet(nn.Module):
    def __init__(self, input_size_2, hidden_size, hidden_layer_2, output_size_2):
        super(MachinePolicyNet, self).__init__()
        self.name = ""machine_policy""
        # 定义机器策略网络输入层
        self.layers_2 = nn.ModuleList([nn.Linear(input_size_2, hidden_size), nn.ReLU()])
        # 定义机器策略网络隐藏层
        for i in range(hidden_layer_2 - 1):
            self.layers_2.append(nn.Linear(hidden_size, hidden_size))
            self.layers_2.append(nn.ReLU())
        # 定义机器策略网络输出层
        self.layers_2.append(nn.Linear(hidden_size, output_size_2))

    def forward(self, x):
        for layer in self.layers_2:
            x = layer(x)
        x = F.softmax(x, dim=-1)
        return x


",""
"Class:agents/HMPSAC/A2C_v5.1.py:CriticNet","CriticNet","agents/HMPSAC/A2C_v5.1.py",76,91,true,"
# 构建评论家网络
class CriticNet(nn.Module):
    def __init__(self, input_size, hidden_size, hidden_layer, output_size):
        super(CriticNet, self).__init__()
        # 定义评论家网络输入层
        self.layers = nn.ModuleList([nn.Linear(input_size, hidden_size), nn.ReLU()])
        # 定义评论家网络隐藏层
        for i in range(hidden_layer - 1):
            self.layers.append(nn.Linear(hidden_size, hidden_size))
            self.layers.append(nn.ReLU())
        # 定义评论家网络输出层
        self.layers.append(nn.Linear(hidden_size, output_size))

    def forward(self, x):
        for layer in self.layers:
            x = layer(x)
        return x


",""
"Class:agents/HMPSAC/A2C_v5.1.py:DA3C","DA3C","agents/HMPSAC/A2C_v5.1.py",94,186,true,"

class DA3C(Base_Agent, Config):
    """"""Actor critic A3C algorithm""""""
    agent_name = ""DA3C""

    def __init__(self):
        Base_Agent.__init__(self)  # 继承基础智能体类
        Config.__init__(self)  # 继承算法超参数类
        self.num_processes = multiprocessing.cpu_count()  # 电脑线程数量|四核八线程
        self.worker_processes = max(1, self.num_processes - 5)  # 启用线程数
        self.path = 'D:/Python project/HMPSAC_Fluid_Model_MOMDFJSP/data/HMPSAC'  # 测试算例的存储位置
        self.file_name = 'DDT1.0_M15_S3'  # 测试算例的文件夹名字
        self.environment_test = MO_DFJSP_Environment(use_instance=False, path=self.path, file_name=self.file_name)  # 测试环境
        self.config = Config
        # 超参数
        self.learning_rate = self.hyper_parameters[""DA3C""][""learning_rate""]  # 学习率
        self.discount_rate = self.hyper_parameters[""DA3C""][""discount_rate""]  # 折扣率
        self.num_episodes_to_run = self.hyper_parameters[""DA3C""][""num_episodes_to_run""]  # 总的步数
        self.epsilon_decay_rate_denominator = self.hyper_parameters[""DA3C""][""epsilon_decay_rate_denominator""]
        # 初始化锁对象 用来更新全局网络参数
        self.optimizer_lock = None
        # 定义策略网络和评论家网络
        self.actor_task_model = TaskPolicyNet(input_size_1=30, hidden_size=200, hidden_layer_1=3, output_size_1=12)
        self.actor_machine_model = MachinePolicyNet(input_size_2=31, hidden_size=200, hidden_layer_2=3, output_size_2=10)
        self.critic_model = CriticNet(input_size=30, hidden_size=200, hidden_layer=3, output_size=1)
        # 定义优化器
        self.actor_task_optimizer = SharedAdam(self.actor_task_model.parameters(), lr=self.learning_rate, eps=1e-4)
        self.actor_machine_optimizer = SharedAdam(self.actor_machine_model.parameters(), lr=self.learning_rate, eps=1e-4)
        self.critic_optimizer = SharedAdam(self.critic_model.parameters(), lr=self.learning_rate, eps=1e-4)
        self.episode_number = 0  # 当前训练周期

    def run_n_episodes(self):
        """"""运行环境n次直到完成，然后总结结果并保存模型(如果要求的话)""""""
        start = time.time()
        gradient_updates_queue_actor_task = Queue()
        gradient_updates_queue_actor_machine = Queue()
        gradient_updates_queue_critic = Queue()
        self.episode_number = multiprocessing.Value('i', 0)  # 多线程共享整数型+初始值为0的参数
        self.optimizer_lock = multiprocessing.Lock()   # 创建锁对象，用于更新全局网络参数
        episodes_per_process = int(self.num_episodes_to_run / self.worker_processes) + 1
        processes = []  # 初始化线程列表
        self.actor_task_model.share_memory()
        self.actor_machine_model.share_memory()
        self.critic_model.share_memory()
        self.actor_task_optimizer.share_memory()
        self.actor_machine_optimizer.share_memory()
        self.critic_optimizer.share_memory()
        optimizer_worker = multiprocessing.Process(target=self.update_shared_model,
                                                   args=(gradient_updates_queue_actor_task,
                                                         gradient_updates_queue_actor_machine,
                                                         gradient_updates_queue_critic))
        optimizer_worker.start()  # 启动总梯度更新主线程

        for process_num in range(self.worker_processes):
            worker = Actor_Critic_Worker(process_num, self.actor_task_model, self.actor_machine_model, self.critic_model,
                                         self.episode_number, self.optimizer_lock, self.actor_task_optimizer,
                                         self.actor_machine_optimizer, self.critic_optimizer, self.hyper_parameters,
                                         episodes_per_process, self.epsilon_decay_rate_denominator,
                                         copy.deepcopy(self.actor_task_model), copy.deepcopy(self.actor_machine_model),
                                         copy.deepcopy(self.critic_model), gradient_updates_queue_actor_task,
                                         gradient_updates_queue_actor_machine, gradient_updates_queue_critic,
                                         self.environment_test)
            worker.start()  # 启动各子线程run()函数
            processes.append(worker)
        for worker in processes:
            worker.join()  # 让子线程结束后主线程再结束
        optimizer_worker.terminate()  # 主线程退出
        time_taken = time.time() - start
        return time_taken

    def update_shared_model(self, gradient_updates_queue_actor_task,
                            gradient_updates_queue_actor_machine,
                            gradient_updates_queue_critic):
        """"""收到工作线程的梯度{信息传入队列}，更新全局网络梯度""""""
        while True:
            gradients_actor_task = gradient_updates_queue_actor_task.get()
            gradients_actor_machine = gradient_updates_queue_actor_machine.get()
            gradients_critic = gradient_updates_queue_critic.get()
            with self.optimizer_lock:
                # 更新工序策略网络梯度
                self.actor_task_optimizer.zero_grad()
                for grads, params in zip(gra
... [truncated]",""
"Class:agents/HMPSAC/A2C_v5.1.py:Actor_Critic_Worker","Actor_Critic_Worker","agents/HMPSAC/A2C_v5.1.py",189,436,true,"

class Actor_Critic_Worker(torch.multiprocessing.Process):
    """"""演员评论工作者将玩游戏的指定集数 """"""
    def __init__(self, worker_num, actor_task_model, actor_machine_model, critic_model, counter, optimizer_lock,
                 actor_task_optimizer, actor_machine_optimizer, critic_optimizer, hyper_parameter, episodes_to_run,
                 epsilon_decay_denominator, local_actor_task_model, local_actor_machine_model, local_critic_model,
                 gradient_updates_queue_actor_task, gradient_updates_queue_actor_machine,
                 gradient_updates_queue_critic, environment_test):
        torch.multiprocessing.Process.__init__(self)
        self.environment_test = environment_test  # 初始化环境对象
        self.environment = None  # 初始化训练环境对象
        self.action_types = self.environment_test.action_types  # 动作类型
        self.worker_num = worker_num  # 线程数
        self.gradient_clipping_norm = hyper_parameter[""DA3C""][""gradient_clipping_norm""]  # 梯度裁剪值
        self.discount_rate = hyper_parameter[""DA3C""][""discount_rate""]  # 折扣率
        self.exploration_worker_difference = hyper_parameter[""DA3C""][""exploration_worker_difference""]
        self.normalise_rewards = True  # 标准化回报
        self.actions_size = self.environment_test.actions_size  # 二维离散动作[12, 10]
        self.actor_task_model = actor_task_model  # 工序策略网络
        self.actor_machine_model = actor_machine_model  # 机器策略网络
        self.critic_model = critic_model  # 全局评论家网络
        self.local_actor_task_model = local_actor_task_model  # 局部工序策略网络
        self.local_actor_machine_model = local_actor_machine_model  # 局部机器策略网络
        self.local_critic_model = local_critic_model  # 局部评论家网络
        self.local_actor_task_optimizer = Adam(self.local_actor_task_model.parameters(), lr=0.0, eps=1e-4)
        self.local_actor_machine_optimizer = Adam(self.local_actor_machine_model.parameters(), lr=0.0, eps=1e-4)
        self.local_critic_optimizer = Adam(self.local_critic_model.parameters(), lr=0.0, eps=1e-4)
        self.counter = counter
        self.optimizer_lock = optimizer_lock
        self.actor_task_optimizer = actor_task_optimizer
        self.actor_machine_optimizer = actor_machine_optimizer
        self.critic_optimizer = critic_optimizer
        self.episodes_to_run = episodes_to_run  # 周期总数
        self.epsilon_decay_denominator = epsilon_decay_denominator
        self.episode_number = 0  # 子线程周期数
        self.gradient_updates_queue_actor_task = gradient_updates_queue_actor_task
        self.gradient_updates_queue_actor_machine = gradient_updates_queue_actor_machine
        self.gradient_updates_queue_critic = gradient_updates_queue_critic
        self.episode_states = []  # 状态列表
        self.episode_actions = []  # 动作列表
        self.episode_rewards = []  # 回报列表
        self.episode_log_action_task_probabilities = []  # 动作log概率列表
        self.episode_log_action_machine_probabilities = []  # 机器策略网络动作log概率列表
        self.critic_outputs = []  # 评论家输出的V值列表
        self.objective_min = float('inf')  # 最小目标值

    def save_actor_model(self, save_model_boole=True):
        """"""保存全局策略网络""""""
        file_path = 'D:/Python project/HMPSAC_Fluid_Model_MOMDFJSP/results/HMPSAC/policy_networks' + agent_version + '/'
        if save_model_boole:
            torch.save(self.actor_task_model.state_dict(), file_path + 'actor_task_model.path')
            torch.save(self.actor_machine_model.state_dict(), file_path + 'actor_machine_model.path')
            print('保存一次模型')
        else:
            print(""该训练过程未保存模型"")

    def generated_new_environment(self):
        """"""返回新环境对象""""""
        DDT = random.uniform(0.5, 1.5)
        M = random.randint(10, 20)
        S = random.randint(1, 5)
        return MO_DFJSP_Environment(use_instance=True, DDT=DDT, M=M, S=S)

    def run(self):
        """"""开启工作线程""""""
        torch.set_num_threads(1)
        for ep_ix in range(self.episodes_to_run):
            self.environment = self.generated_new_environment()  # 重新随机初始化
            # self.environment = self.environment_test  # 初始化训练环境对象
            with self.optimizer_lock:  # 锁定网络更新线程网络参数
                Base_Agent.copy_model_over(self.actor_task_model, self.local_actor_task_model)
                Base_Agent.copy_model_over(self.actor_machine_model, self.local_actor_machine_model)
                Base_Agent.copy_model_over(self.critic_model, self.local_critic_model)
            epsilon_exploration = self.calculate_new_exploration()  # 计算新的探索参数
            state = self.environment.reset()  # 初始化状态
            done = False
            self.episode_states = []  # 状态列表
            self.episode_actions = []  # 动作列表
            self.episode_rewards = []  # 回报列表
            self.episode_log_action_task_probabilities = []  # 工序策略网络动作log概率列表
            self.episode_log_action_machine_probabilities = []  # 机器策略网络动作log概率列表
            self.critic_outputs = []  # 评论家输出的V值列表
            # 采样一条轨迹
            while not done:
      
... [truncated]",""
"Class:agents/HMPSAC/A2C_v5.2.py:TaskPolicyNet","TaskPolicyNet","agents/HMPSAC/A2C_v5.2.py",34,51,true,"
# 构建工序策略网络类
class TaskPolicyNet(nn.Module):
    def __init__(self, input_size_1, hidden_size, hidden_layer_1, output_size_1):
        super(TaskPolicyNet, self).__init__()
        self.name = ""task_policy""
        # 定义工序策略网络输入层
        self.layers_1 = nn.ModuleList([nn.Linear(input_size_1, hidden_size), nn.ReLU()])
        # 定义工序策略网络隐藏层
        for i in range(hidden_layer_1 - 1):
            self.layers_1.append(nn.Linear(hidden_size, hidden_size))
            self.layers_1.append(nn.ReLU())
        # 定义工序策略网络输出层
        self.layers_1.append(nn.Linear(hidden_size, output_size_1))

    def forward(self, x):
        for layer in self.layers_1:
            x = layer(x)
        x = F.softmax(x, dim=-1)
        return x


",""
"Class:agents/HMPSAC/A2C_v5.2.py:MachinePolicyNet","MachinePolicyNet","agents/HMPSAC/A2C_v5.2.py",55,72,true,"
# 构建机器策略网络类
class MachinePolicyNet(nn.Module):
    def __init__(self, input_size_2, hidden_size, hidden_layer_2, output_size_2):
        super(MachinePolicyNet, self).__init__()
        self.name = ""machine_policy""
        # 定义机器策略网络输入层
        self.layers_2 = nn.ModuleList([nn.Linear(input_size_2, hidden_size), nn.ReLU()])
        # 定义机器策略网络隐藏层
        for i in range(hidden_layer_2 - 1):
            self.layers_2.append(nn.Linear(hidden_size, hidden_size))
            self.layers_2.append(nn.ReLU())
        # 定义机器策略网络输出层
        self.layers_2.append(nn.Linear(hidden_size, output_size_2))

    def forward(self, x):
        for layer in self.layers_2:
            x = layer(x)
        x = F.softmax(x, dim=-1)
        return x


",""
"Class:agents/HMPSAC/A2C_v5.2.py:CriticNet","CriticNet","agents/HMPSAC/A2C_v5.2.py",76,91,true,"
# 构建评论家网络
class CriticNet(nn.Module):
    def __init__(self, input_size, hidden_size, hidden_layer, output_size):
        super(CriticNet, self).__init__()
        # 定义评论家网络输入层
        self.layers = nn.ModuleList([nn.Linear(input_size, hidden_size), nn.ReLU()])
        # 定义评论家网络隐藏层
        for i in range(hidden_layer - 1):
            self.layers.append(nn.Linear(hidden_size, hidden_size))
            self.layers.append(nn.ReLU())
        # 定义评论家网络输出层
        self.layers.append(nn.Linear(hidden_size, output_size))

    def forward(self, x):
        for layer in self.layers:
            x = layer(x)
        return x


",""
"Class:agents/HMPSAC/A2C_v5.2.py:DA3C","DA3C","agents/HMPSAC/A2C_v5.2.py",94,186,true,"

class DA3C(Base_Agent, Config):
    """"""Actor critic A3C algorithm""""""
    agent_name = ""DA3C""

    def __init__(self):
        Base_Agent.__init__(self)  # 继承基础智能体类
        Config.__init__(self)  # 继承算法超参数类
        self.num_processes = multiprocessing.cpu_count()  # 电脑线程数量|四核八线程
        self.worker_processes = max(1, self.num_processes - 3)  # 启用线程数
        self.path = 'D:/Python project/HMPSAC_Fluid_Model_MOMDFJSP/data/HMPSAC'  # 测试算例的存储位置
        self.file_name = 'DDT1.0_M15_S3'  # 测试算例的文件夹名字
        self.environment_test = MO_DFJSP_Environment(use_instance=False, path=self.path, file_name=self.file_name)  # 测试环境
        self.config = Config
        # 超参数
        self.learning_rate = self.hyper_parameters[""DA3C""][""learning_rate""]  # 学习率
        self.discount_rate = self.hyper_parameters[""DA3C""][""discount_rate""]  # 折扣率
        self.num_episodes_to_run = self.hyper_parameters[""DA3C""][""num_episodes_to_run""]  # 总的步数
        self.epsilon_decay_rate_denominator = self.hyper_parameters[""DA3C""][""epsilon_decay_rate_denominator""]
        # 初始化锁对象 用来更新全局网络参数
        self.optimizer_lock = None
        # 定义策略网络和评论家网络
        self.actor_task_model = TaskPolicyNet(input_size_1=30, hidden_size=200, hidden_layer_1=3, output_size_1=12)
        self.actor_machine_model = MachinePolicyNet(input_size_2=31, hidden_size=200, hidden_layer_2=3, output_size_2=10)
        self.critic_model = CriticNet(input_size=30, hidden_size=200, hidden_layer=3, output_size=1)
        # 定义优化器
        self.actor_task_optimizer = SharedAdam(self.actor_task_model.parameters(), lr=self.learning_rate, eps=1e-4)
        self.actor_machine_optimizer = SharedAdam(self.actor_machine_model.parameters(), lr=self.learning_rate, eps=1e-4)
        self.critic_optimizer = SharedAdam(self.critic_model.parameters(), lr=self.learning_rate, eps=1e-4)
        self.episode_number = 0  # 当前训练周期

    def run_n_episodes(self):
        """"""运行环境n次直到完成，然后总结结果并保存模型(如果要求的话)""""""
        start = time.time()
        gradient_updates_queue_actor_task = Queue()
        gradient_updates_queue_actor_machine = Queue()
        gradient_updates_queue_critic = Queue()
        self.episode_number = multiprocessing.Value('i', 0)  # 多线程共享整数型+初始值为0的参数
        self.optimizer_lock = multiprocessing.Lock()   # 创建锁对象，用于更新全局网络参数
        episodes_per_process = int(self.num_episodes_to_run / self.worker_processes) + 1
        processes = []  # 初始化线程列表
        self.actor_task_model.share_memory()
        self.actor_machine_model.share_memory()
        self.critic_model.share_memory()
        self.actor_task_optimizer.share_memory()
        self.actor_machine_optimizer.share_memory()
        self.critic_optimizer.share_memory()
        optimizer_worker = multiprocessing.Process(target=self.update_shared_model,
                                                   args=(gradient_updates_queue_actor_task,
                                                         gradient_updates_queue_actor_machine,
                                                         gradient_updates_queue_critic))
        optimizer_worker.start()  # 启动总梯度更新主线程

        for process_num in range(self.worker_processes):
            worker = Actor_Critic_Worker(process_num, self.actor_task_model, self.actor_machine_model, self.critic_model,
                                         self.episode_number, self.optimizer_lock, self.actor_task_optimizer,
                                         self.actor_machine_optimizer, self.critic_optimizer, self.hyper_parameters,
                                         episodes_per_process, self.epsilon_decay_rate_denominator,
                                         copy.deepcopy(self.actor_task_model), copy.deepcopy(self.actor_machine_model),
                                         copy.deepcopy(self.critic_model), gradient_updates_queue_actor_task,
                                         gradient_updates_queue_actor_machine, gradient_updates_queue_critic,
                                         self.environment_test)
            worker.start()  # 启动各子线程run()函数
            processes.append(worker)
        for worker in processes:
            worker.join()  # 让子线程结束后主线程再结束
        optimizer_worker.terminate()  # 主线程退出
        time_taken = time.time() - start
        return time_taken

    def update_shared_model(self, gradient_updates_queue_actor_task,
                            gradient_updates_queue_actor_machine,
                            gradient_updates_queue_critic):
        """"""收到工作线程的梯度{信息传入队列}，更新全局网络梯度""""""
        while True:
            gradients_actor_task = gradient_updates_queue_actor_task.get()
            gradients_actor_machine = gradient_updates_queue_actor_machine.get()
            gradients_critic = gradient_updates_queue_critic.get()
            with self.optimizer_lock:
                # 更新工序策略网络梯度
                self.actor_task_optimizer.zero_grad()
                for grads, params in zip(gra
... [truncated]",""
