id,label,heuristicLabel,keywords,description,enrichedBy,cohesion,symbolCount
"comm_9","HMPSAC","HMPSAC",[],"","heuristic",0.7619047619047619,9
"comm_12","HMPSAC","HMPSAC",[],"","heuristic",0.7272727272727273,9
"comm_1","HMPSAC","HMPSAC",[],"","heuristic",1,8
"comm_4","HMPSAC","HMPSAC",[],"","heuristic",0.7,8
"comm_32","Utilities","Utilities",[],"","heuristic",1,8
"comm_3","HMPSAC","HMPSAC",[],"","heuristic",0.8,7
"comm_6","Utilities","Utilities",[],"","heuristic",0.6,7
"comm_0","HMPSAC","HMPSAC",[],"","heuristic",1,6
"comm_16","HMPSAC","HMPSAC",[],"","heuristic",0.7058823529411765,6
"comm_21","Environments","Environments",[],"","heuristic",0.7142857142857143,6
"comm_2","Agents","Agents",[],"","heuristic",0.8,5
"comm_7","HMPSAC","HMPSAC",[],"","heuristic",0.8888888888888888,5
"comm_10","HMPSAC","HMPSAC",[],"","heuristic",0.8888888888888888,5
"comm_13","HMPSAC","HMPSAC",[],"","heuristic",0.8888888888888888,5
"comm_24","Environments","Environments",[],"","heuristic",0.8888888888888888,5
"comm_34","Utilities","Utilities",[],"","heuristic",1,5
"comm_17","Environments","Environments",[],"","heuristic",1,4
"comm_18","Environments","Environments",[],"","heuristic",0.8571428571428571,4
"comm_20","Environments","Environments",[],"","heuristic",0.75,4
"comm_22","Environments","Environments",[],"","heuristic",0.6666666666666666,4
"comm_23","Environments","Environments",[],"","heuristic",0.6,4
"comm_25","Environments","Environments",[],"","heuristic",1,4
"comm_26","Environments","Environments",[],"","heuristic",1,4
"comm_27","Exploration_strategies","Exploration_strategies",[],"","heuristic",1,4
"comm_28","Exploration_strategies","Exploration_strategies",[],"","heuristic",1,4
"comm_15","HMPSAC","HMPSAC",[],"","heuristic",1,3
"comm_29","Exploration_strategies","Exploration_strategies",[],"","heuristic",1,3
"comm_37","Data_structures","Data_structures",[],"","heuristic",1,3
"comm_30","Utilities","Utilities",[],"","heuristic",1,2
"comm_35","Utilities","Utilities",[],"","heuristic",1,2
