id,label,heuristicLabel,processType,stepCount,communities,entryPointId,terminalId
"proc_0_run_n_episodes","Run_n_episodes → Create_actor_distribution","Run_n_episodes → Create_actor_distribution","cross_community",5,"['comm_3','comm_16','comm_6']","Method:agents/HMPSAC/SAC.py:SAC_Discrete.run_n_episodes#0","Function:utilities/Utility_Functions.py:create_actor_distribution"
"proc_1___init__","__init__ → Str_int","__init__ → Str_int","cross_community",5,"['comm_18','comm_24']","Method:environments/MO_DFJSP_breakdown.py:MO_DFJSP_Environment.__init__","Method:environments/MO_DFJSP_instance_read.py:Data.str_int#1"
"proc_2_learn","Learn → Create_actor_distribution","Learn → Create_actor_distribution","cross_community",4,"['comm_16','comm_6']","Method:agents/HMPSAC/SAC.py:SAC_Discrete.learn#0","Function:utilities/Utility_Functions.py:create_actor_distribution"
"proc_3_learn","Learn → Step","Learn → Step","cross_community",4,"['comm_16','comm_2']","Method:agents/HMPSAC/SAC.py:SAC_Discrete.learn#0","Method:agents/Base_Agent.py:Base_Agent.step#0"
"proc_4_step","Step → Machine_available_rj_selectable","Step → Machine_available_rj_selectable","cross_community",4,"['comm_21','comm_22']","Method:environments/MO_DFJSP_breakdown.py:MO_DFJSP_Environment.step#5","Method:environments/MO_DFJSP_breakdown.py:MO_DFJSP_Environment.machine_available_rj_selectable#1"
"proc_5_step","Step → Machine_fluid_available_rj_selectable","Step → Machine_fluid_available_rj_selectable","cross_community",4,"['comm_21','comm_22','comm_23']","Method:environments/MO_DFJSP_breakdown.py:MO_DFJSP_Environment.step#5","Method:environments/MO_DFJSP_breakdown.py:MO_DFJSP_Environment.machine_fluid_available_rj_selectable#1"
"proc_6___init__","__init__ → Process_information","__init__ → Process_information","intra_community",4,"['comm_18']","Method:environments/MO_DFJSP_breakdown.py:MO_DFJSP_Environment.__init__","Method:environments/Instance_generate.py:Instance.process_information#0"
"proc_7___call__","__call__ → Create_actor_distribution","__call__ → Create_actor_distribution","intra_community",4,"['comm_6']","Method:utilities/Parallel_Experience_Generator.py:Parallel_Experience_Generator.__call__#1","Function:utilities/Utility_Functions.py:create_actor_distribution"
"proc_8_learn","Learn → Soft_update_of_target_network","Learn → Soft_update_of_target_network","cross_community",3,"['comm_16','comm_2']","Method:agents/HMPSAC/SAC.py:SAC_Discrete.learn#0","Method:agents/Base_Agent.py:Base_Agent.soft_update_of_target_network#3"
"proc_9_step","Step → Fluid_model","Step → Fluid_model","intra_community",3,"['comm_21']","Method:environments/MO_DFJSP_breakdown.py:MO_DFJSP_Environment.step#5","Method:environments/class_MODFJSP.py:FJSP.fluid_model#0"
