epoch,energy
1,735386
2,736716
3,727942
4,762336
5,670573
6,695045
7,709994
8,686844
9,720176
10,675542
11,696931
12,753513
13,806367
14,856573
15,857081
16,903156
17,874375
18,901847
19,891499
20,888353
21,868950
22,890569
23,917550
24,914014
25,865749
26,876034
27,871629
28,896667
29,856773
30,881762
31,885918
32,910266
33,856131
34,884315
35,888497
36,914073
37,833412
38,822287
39,776180
40,761780
41,809872
42,753189
43,753461
44,773799
45,699701
46,696467
47,697819
48,665652
49,705142
50,721558
51,709765
52,703207
53,682798
54,709278
55,698941
56,720244
57,694150
58,715505
59,729982
60,752437
61,671304
62,727501
63,744672
64,745524
65,689765
66,726718
67,717626
68,727015
69,743105
70,747114
71,732058
72,696757
73,707928
74,742931
75,725547
76,721174
77,779239
78,730695
79,738717
80,706225
81,743252
82,743593
83,714347
84,712568
85,727480
86,727696
87,698934
88,760218
89,717744
90,711407
91,711711
92,747195
93,783331
94,749868
95,716304
96,727761
97,718243
98,746501
99,739495
100,729243
101,730726
102,732044
103,693076
104,724357
105,725859
106,724078
107,719102
108,718491
109,698507
110,738019
111,772547
112,724718
113,699259
114,758659
115,735948
116,723486
117,736712
118,710138
119,722156
120,704447
121,736521
122,734105
123,740870
124,740877
125,736344
126,756437
127,740995
128,721875
129,708495
130,719587
131,755757
132,733299
133,742026
134,743573
135,700646
136,740141
137,716437
138,761527
139,721927
140,712938
141,740360
142,719785
143,744403
144,723680
145,746317
146,706195
147,725955
148,753591
149,720614
150,732800
151,718449
152,717796
153,712325
154,717684
155,738765
156,707607
157,713224
158,735488
159,723962
160,725232
161,729812
162,734212
163,746892
164,748893
165,711560
166,725967
167,727720
168,752291
169,757711
170,717294
171,736872
172,734511
173,729165
174,748984
175,727624
176,700444
177,745109
178,725574
179,744672
180,732180
181,699517
182,728833
183,758299
184,777150
185,755074
186,722360
187,698848
188,743995
189,716929
190,727180
191,759979
192,725028
193,679725
194,700959
195,733422
196,699378
197,737699
198,701646
199,763339
200,699714
201,742130
202,738680
203,722576
204,721422
205,742570
206,724057
207,735998
208,743420
209,717529
210,712287
211,721459
212,725392
213,709969
214,731050
215,732116
216,724307
217,717094
218,753383
219,750582
220,711630
221,769704
222,776419
223,736377
224,736796
225,748728
226,731280
227,711544
228,755630
229,751162
230,724799
231,733272
232,729824
233,756240
234,754014
235,717927
236,739125
237,762187
238,736243
239,731696
240,723008
241,744973
242,725533
243,759182
244,752709
245,739989
246,722224
247,777953
248,731024
249,750927
250,726981
251,688952
252,738977
253,726530
254,731942
255,723397
256,700097
257,743899
258,709431
259,731984
260,734149
261,723985
262,729251
263,715361
264,729955
265,746772
266,725956
267,762171
268,738588
269,742449
270,747046
271,729953
272,726097
273,711609
274,713235
275,746617
276,723815
277,729973
278,749482
279,726179
280,745597
281,731276
282,731394
283,733648
284,749748
285,723958
286,743267
287,745774
288,717077
289,724050
290,740702
291,751681
292,738227
293,755227
294,705421
295,729091
296,747026
297,738132
298,720259
299,726311
300,719973
301,695661
302,732706
303,761102
304,722328
305,725751
306,712393
307,739469
308,697683
309,747733
310,746178
311,739242
312,748403
313,707870
314,726342
315,733097
316,719799
317,717951
318,762672
319,705681
320,753350
321,703130
322,746413
323,718331
324,720536
325,742266
326,735816
327,749561
328,709628
329,730243
330,747420
331,738667
332,723308
333,741429
334,725643
335,724864
336,742337
337,718146
338,755035
339,714478
340,752598
341,712454
342,758950
343,711503
344,751406
345,728804
346,744809
347,725659
348,736881
349,741907
350,724072
351,723498
352,731816
353,738038
354,735723
355,720948
356,728708
357,718144
358,699394
359,707467
360,734459
361,756730
362,704540
363,728270
364,712986
365,738723
366,720905
367,742624
368,743551
369,736211
370,729629
371,721446
372,724087
373,732081
374,741786
375,747994
376,744683
377,701917
378,748769
379,715119
380,714832
381,726097
382,745179
383,759823
384,724352
385,704464
386,711617
387,716241
388,733433
389,739624
390,734850
391,723748
392,744744
393,738796
394,713199
395,720064
396,737190
397,754375
398,736053
399,741290
400,729244
401,725658
402,710278
403,719940
404,732140
405,710859
406,722635
407,744911
408,742250
409,725995
410,714242
411,759170
412,754349
413,765680
414,732455
415,717599
416,742867
417,745113
418,727714
419,718570
420,737872
421,702909
422,715108
423,704339
424,712763
425,736463
426,724761
427,725198
428,697903
429,733018
430,707016
431,738529
432,717543
433,749744
434,681133
435,736438
436,719081
437,722231
438,714246
439,722530
440,732529
441,735919
442,763444
443,708666
444,717326
445,732279
446,705792
447,753792
448,733278
449,720240
450,725370
451,744057
452,736668
453,757278
454,760349
455,736502
456,732818
457,712845
458,720782
459,726892
460,717410
461,738330
462,704796
463,742207
464,746855
465,738587
466,747697
467,727872
468,755119
469,722163
470,733056
471,701523
472,718866
473,730901
474,731134
475,725639
476,736510
477,711433
478,724547
479,701344
480,744233
481,746346
482,732481
483,715356
484,711785
485,714897
486,752277
487,723675
488,724753
489,739682
490,741555
491,732923
492,734298
493,707531
494,712660
495,723847
496,731131
497,752073
