epoch,makespan
1,641
2,638
3,627
4,646
5,624
6,636
7,643
8,619
9,672
10,636
11,627
12,650
13,643
14,649
15,677
16,644
17,645
18,663
19,634
20,629
21,626
22,634
23,642
24,649
25,641
26,639
27,640
28,647
29,631
30,636
31,666
32,687
33,637
34,635
35,637
36,630
37,654
38,637
39,629
40,640
41,648
42,641
43,702
44,644
45,684
46,628
47,651
48,673
49,633
50,657
51,634
52,642
53,639
54,650
55,622
56,634
57,651
58,633
59,635
60,648
61,642
62,690
63,648
64,665
65,628
66,611
67,636
68,647
69,650
70,638
71,643
72,634
73,643
74,618
75,651
76,646
77,631
78,653
79,647
80,666
81,624
82,649
83,653
84,616
85,613
86,648
87,641
88,634
89,665
90,633
91,650
92,648
93,637
94,649
95,623
96,629
97,642
98,624
99,670
100,686
101,651
102,628
103,634
104,633
105,623
106,631
107,660
108,638
109,649
110,620
111,643
112,626
113,639
114,636
115,644
116,673
117,610
118,657
119,653
120,679
121,635
122,635
123,663
124,650
125,633
126,614
127,654
128,624
129,645
130,628
131,664
132,640
133,643
134,633
135,658
136,641
137,684
138,655
139,620
140,631
141,638
142,624
143,656
144,647
145,665
146,640
147,660
148,661
149,665
150,665
151,625
152,656
153,648
154,635
155,634
156,635
157,621
158,635
159,631
160,632
161,666
162,637
163,626
164,626
165,651
166,639
167,643
168,658
169,670
170,677
171,656
172,612
173,653
174,657
175,643
176,675
177,659
178,648
179,647
180,631
181,646
182,655
183,644
184,618
185,656
186,634
187,626
188,633
189,641
190,660
191,644
192,634
193,658
194,631
195,644
196,620
197,623
198,644
199,648
200,625
201,645
202,627
203,651
204,642
205,671
206,630
207,637
208,647
209,644
210,640
211,637
212,648
213,629
214,612
215,657
216,667
217,661
218,656
219,639
220,635
221,637
222,627
223,619
224,646
225,632
226,633
227,643
228,617
229,646
230,638
231,689
232,624
233,643
234,623
235,682
236,649
237,673
238,648
239,644
240,659
241,633
242,634
243,679
244,630
245,656
246,640
247,669
248,651
249,654
250,644
251,641
252,626
253,628
254,663
255,660
256,641
257,632
258,710
259,661
260,624
261,654
262,634
263,662
264,640
265,662
266,614
267,664
268,642
269,634
270,632
271,648
272,659
273,644
274,607
275,648
276,645
277,661
278,636
279,644
280,627
281,667
282,639
283,629
284,668
285,651
286,642
287,650
288,623
289,622
290,640
291,641
292,625
293,664
294,660
295,607
296,634
297,672
298,646
299,651
300,660
301,658
302,662
303,644
304,632
305,657
306,679
307,651
308,670
309,689
310,631
311,630
312,662
313,623
314,662
315,642
316,638
317,629
318,637
319,621
320,642
321,632
322,624
323,674
324,625
325,657
326,644
327,625
328,623
329,622
330,644
331,658
332,623
333,703
334,656
335,655
336,653
337,628
338,651
339,624
340,673
341,629
342,647
343,639
344,641
345,675
346,634
347,664
348,659
349,639
350,638
351,634
352,649
353,637
354,622
355,707
356,637
357,628
358,654
359,643
360,647
361,615
362,659
363,668
364,637
365,668
366,622
367,664
368,673
369,665
370,664
371,644
372,668
373,636
374,661
375,614
376,610
377,637
378,617
379,672
380,625
381,656
382,628
383,643
384,656
385,643
386,651
387,641
388,609
389,653
390,642
391,654
392,661
393,658
394,635
395,629
396,643
397,641
398,638
399,639
400,675
401,666
402,640
403,625
404,634
405,632
406,654
407,661
408,645
409,648
410,636
411,674
412,640
413,645
414,650
415,649
416,653
417,660
418,651
419,668
420,655
421,644
422,640
423,655
424,661
425,618
426,651
427,620
428,630
429,629
430,627
431,688
432,620
433,627
434,647
435,633
436,663
437,638
438,655
439,656
440,660
441,670
442,674
443,635
444,616
445,680
446,644
447,646
448,648
449,650
450,669
451,636
452,668
453,658
454,656
455,614
456,635
457,653
458,679
459,676
460,623
461,641
462,639
463,662
464,699
465,631
466,644
467,640
468,660
469,614
470,641
471,650
472,653
473,623
474,649
475,664
476,658
477,644
478,667
479,635
480,641
481,650
482,660
483,654
484,654
485,689
486,641
487,635
488,629
489,636
490,649
491,651
492,653
493,636
494,647
495,657
496,633
497,656
498,636
499,635
500,655
501,633
502,632
503,643
504,651
505,642
506,664
507,625
508,640
509,657
510,622
511,667
512,664
513,647
514,645
515,633
516,655
517,654
518,642
519,623
520,662
521,673
522,647
523,668
524,641
525,639
526,656
527,614
528,641
529,635
530,625
531,634
532,651
533,658
534,632
535,667
536,670
537,639
538,615
539,684
