epoch,tardiness
1,8479
2,9969
3,8109
4,8544
5,10098
6,8617
7,8556
8,7875
9,9069
10,7662
11,8599
12,9222
13,8719
14,8728
15,9000
16,8470
17,8707
18,9673
19,8553
20,8254
21,9217
22,10165
23,8928
24,8703
25,9069
26,8851
27,7976
28,8193
29,8908
30,8755
31,9292
32,9042
33,8968
34,9258
35,9475
36,9236
37,8920
38,8576
39,9656
40,8611
41,9004
42,9174
43,9361
44,8313
45,7603
46,8685
47,8375
48,9329
49,8435
50,8806
51,8251
52,9763
53,8069
54,7460
55,8410
56,8284
57,8756
58,9161
59,8398
60,9090
61,9314
62,8836
63,9425
64,7805
65,9301
66,8921
67,8257
68,9880
69,8613
70,8911
71,9580
72,7880
73,10157
74,8639
75,7571
76,9053
77,9456
78,9594
79,9482
80,9185
81,8728
82,8417
83,7945
84,8258
85,7837
86,8502
87,9163
88,9055
89,9384
90,7895
91,8625
92,7990
93,8274
94,9043
95,9166
96,7513
97,7600
98,8552
99,8880
100,8229
101,8737
102,7795
103,8048
104,8834
105,8601
106,8059
107,8629
108,8794
109,8509
110,8479
111,8466
112,8010
113,9221
114,7800
115,9024
116,8211
117,9015
118,8534
119,9164
120,8983
121,8129
122,7885
123,9467
124,8678
125,8778
126,7934
127,7530
128,9627
129,8374
130,9614
131,8521
132,8492
133,8768
134,8278
135,8216
136,8195
137,9328
138,8577
139,8303
140,8698
141,8188
142,8956
143,8468
144,8221
145,8768
146,8124
147,8157
148,8745
149,8077
150,8389
151,8775
152,8393
153,8450
154,8536
155,8935
156,8970
157,8790
158,8978
159,8461
160,8314
161,8532
162,7244
163,8777
164,7982
165,8275
166,9557
167,8356
168,8254
169,8592
170,9310
171,8064
172,8039
173,8647
174,8177
175,9192
176,8932
177,8650
178,8064
179,8566
180,9090
181,9883
182,9355
183,9171
184,8225
185,7249
186,8804
187,8231
188,10032
189,8628
190,7689
191,8073
192,8691
193,7815
194,8850
195,9597
196,8689
197,8867
198,9272
199,8233
200,7583
201,9233
202,8189
203,8180
204,8188
205,8126
206,8559
207,7680
208,8846
209,8439
210,8363
211,9035
212,8586
213,7403
214,8054
215,7344
216,7797
217,8236
218,8901
219,8367
220,9837
221,9305
222,8779
223,8470
224,9625
225,9725
226,7908
227,9062
228,7845
229,8306
230,9109
231,7886
232,8102
233,8441
234,8375
235,8291
236,7019
237,8861
238,9720
239,9010
240,9284
241,7783
242,9217
243,8590
244,8101
245,8447
246,7526
247,8963
248,8959
249,8174
250,8025
251,8327
252,8597
253,9963
254,8696
255,8448
256,7701
257,8347
258,7406
259,8793
260,10755
261,8301
262,8387
263,8540
264,8570
265,8452
266,8627
267,7944
268,8774
269,7790
270,8048
271,9057
272,8467
273,9057
274,8953
275,7638
276,8846
277,8300
278,7906
279,8976
280,8753
281,9120
282,7854
283,8294
284,8784
285,8396
286,8378
287,8001
288,7945
289,8439
290,8915
291,8385
292,8473
293,8166
294,8228
295,8851
296,9177
297,8585
298,8268
299,7985
300,7240
301,8074
302,8806
303,7537
304,9141
305,7863
306,9230
307,7672
308,8959
309,8045
310,7510
311,9730
312,7391
313,8828
314,9232
315,8405
316,8342
317,8772
318,8202
319,9236
320,8457
321,8694
322,8112
323,7568
324,7607
325,7916
326,7594
327,8073
328,8462
329,7584
330,9295
331,8037
332,8072
333,7987
334,7761
335,6943
336,7682
337,7269
338,8966
339,7674
340,8369
341,7803
342,8417
343,8117
344,8261
345,8200
346,8844
347,8033
348,8071
349,8259
350,8318
351,7819
352,8329
353,8929
354,7824
355,7716
356,9066
357,9140
358,8551
359,7863
360,8485
361,7906
362,8133
363,8451
364,7526
365,8140
366,7622
367,7373
368,8036
369,8051
370,8825
371,7892
372,7867
373,8284
374,8722
375,7126
376,7796
377,9078
378,8183
379,7918
380,7921
381,7238
382,8066
383,7850
384,8744
385,8633
386,8898
387,8550
388,7360
389,8516
390,8756
391,8987
392,8573
393,8348
394,8472
395,7938
396,8398
397,8336
398,7562
399,8260
400,7415
401,8949
402,8039
403,8198
404,8610
405,8533
406,8751
407,8324
408,7397
409,8332
410,7373
411,8314
412,7756
413,7870
414,7851
415,7431
416,8691
417,8494
418,8253
419,8225
420,9195
421,8691
422,8765
423,9211
424,7997
425,7716
426,8109
427,8753
428,8453
429,8677
430,7809
431,7874
432,7646
433,8152
434,8868
435,7896
436,8059
437,8470
438,7049
439,7545
440,8548
441,7735
442,7802
443,8114
444,8865
445,8525
446,7886
447,7075
448,8465
449,8074
450,7598
451,8136
452,8160
453,7676
454,8486
455,8257
456,7748
457,9403
458,7822
459,7588
460,7854
461,8337
462,7947
463,9284
464,7588
465,7622
466,7427
467,8453
468,7016
469,7857
470,7911
471,8894
472,8361
473,8377
474,8621
475,8563
476,7364
477,8550
478,7987
479,8832
480,7782
481,8170
482,7149
483,6982
484,8743
485,7419
486,7900
487,9727
488,7661
489,9014
490,7553
491,7938
492,6638
493,8247
494,8112
495,8563
496,8543
497,8198
498,8043
499,8563
500,7799
501,7389
502,8910
503,7212
504,7769
505,8055
506,7838
507,8091
508,8214
509,8622
510,7599
511,8876
512,8392
513,8435
514,8680
515,8570
516,8959
517,8242
518,7696
519,8224
520,8132
521,8178
522,8792
523,8258
524,7837
525,8401
526,8091
