epoch,energy
1,712550
2,710851
3,725753
4,675894
5,712084
6,715376
7,711321
8,696591
9,741834
10,728236
11,754043
12,675452
13,712478
14,724477
15,695111
16,696978
17,700081
18,703667
19,718107
20,706880
21,713537
22,682276
23,669866
24,705220
25,681565
26,720375
27,691171
28,692699
29,719035
30,680854
31,706972
32,687115
33,703716
34,686613
35,701481
36,709080
37,728940
38,706047
39,716521
40,698722
41,708792
42,725138
43,708114
44,708603
45,677916
46,705763
47,708759
48,721107
49,675661
50,697236
51,695902
52,714325
53,679046
54,706372
55,680376
56,684035
57,667490
58,709211
59,740137
60,710093
61,723226
62,707653
63,714651
64,677789
65,707982
66,702590
67,711699
68,720446
69,699762
70,688817
71,716160
72,694535
73,692821
74,700128
75,695086
76,687704
77,701159
78,701076
79,712055
80,688258
81,715305
82,685797
83,714446
84,730259
85,696124
86,725293
87,699838
88,711317
89,712471
90,667127
91,666356
92,680766
93,711625
94,697060
95,681576
96,699204
97,690544
98,668838
99,703878
100,685247
101,683069
102,692520
103,697730
104,701864
105,707634
106,714618
107,687619
108,702222
109,689791
110,688163
111,681135
112,711216
113,727842
114,693589
115,704143
116,710949
117,717839
118,685498
119,697731
120,711079
121,702672
122,682433
123,711339
124,721412
125,704643
126,713130
127,701275
128,718736
129,698958
130,721148
131,721356
132,710563
133,685394
134,707189
135,715907
136,713715
137,718000
138,661908
139,696361
140,682973
141,680048
142,702797
143,689254
144,700305
145,703615
146,697987
147,686995
148,702558
149,701364
150,719037
151,680612
152,692111
153,686317
154,700531
155,694931
156,688028
157,727427
158,682134
159,742782
160,720284
161,680677
162,704193
163,685605
164,702072
165,711995
166,714561
167,751112
168,703300
169,689023
170,683010
171,729734
172,722582
173,693079
174,669260
175,675824
176,717371
177,685826
178,679236
179,706214
180,689172
181,705568
182,698053
183,675297
184,728475
185,693655
186,695667
187,686945
188,719328
189,734256
190,726750
191,710049
192,688398
193,707121
194,704179
195,752974
196,693198
197,676238
198,733922
199,721255
200,681619
201,705979
202,716074
203,709696
204,701960
205,697923
206,717197
207,700965
208,688006
209,694078
210,733965
211,714603
212,706989
213,703831
214,713842
215,690171
216,711088
217,702694
218,711241
219,681007
220,717592
221,672290
222,696858
223,708222
224,677260
225,702462
226,726494
227,681875
228,690812
229,702188
230,699736
231,681074
232,688821
233,724259
234,723315
235,694385
236,701496
237,718100
238,705848
239,678806
240,700230
241,728073
242,686707
243,727781
244,721366
245,697782
246,703851
247,718363
248,691184
249,705536
250,699958
251,716126
252,687107
253,704945
254,674046
255,692844
256,732373
257,702489
258,717250
259,756195
260,705286
261,730447
262,693449
263,684027
264,719236
265,682172
266,678308
267,671891
268,697017
269,727591
270,722831
271,665944
272,701626
273,703666
274,701478
275,686351
276,689730
277,712487
278,715633
279,726562
280,717521
281,698134
282,711059
283,702118
284,700002
285,703479
286,697981
287,718803
288,714670
289,711597
290,682651
291,681532
292,665358
293,682128
294,693376
295,696073
296,682990
297,695559
298,712238
299,707940
300,702982
301,695042
302,705102
303,694787
304,671112
305,715917
306,703208
307,708042
308,711356
309,661581
310,667606
311,681553
312,682422
313,718268
314,681798
315,693832
316,704016
317,678597
318,717091
319,691996
320,692086
321,670168
